dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6347938970006362,0.695855126172537,0.4898596620977416,0.508780101559195,0.1476443442974059,0.32843912329901825
BTEC,msa-egy,0.5854249378372333,0.642083387771272,0.428587211178491,0.4558138058056601,0.1296250262907698,0.3388345255170689
FLORES,eng-egy,0.6188797127301222,0.5956185323232784,0.39862467289323883,0.44404736538956796,0.14238971636774467,0.33625800118533067
FLORES,msa-egy,0.5813251637583017,0.5091755608445965,0.349854323074098,0.3794420551410023,0.25501661410558635,0.4519830189643668
