dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,egy,0.887938057789579,0.7365730459988117,0.665004933212351,0.6740027819272104
FLORES,egy,0.8742339725303464,0.6224607728421688,0.5635811634642188,0.573010116647104
HABIBI,egy,0.8910755496099592,0.7524428384006023,0.6864099811413437,0.6887511226790746
