dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6388937774498481,0.661048484480707,0.4869678333416159,0.5090788372217947,0.1673230101566185,0.3637177844297653
BTEC,msa-egy,0.6329869374251575,0.6329571022084565,0.47085700091339805,0.5084186435228809,0.1631734044500228,0.3624988667665397
FLORES,eng-egy,0.6454646296972351,0.52537725158385,0.39863549951964133,0.43017353983928047,0.2150907411015873,0.4142427156214177
FLORES,msa-egy,0.4829248872613243,0.42497970268595964,0.27131720004618903,0.2982452897996308,0.38113417586307435,0.5535648878462581
