dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.09984669037863507,0.2309994908038303
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.06378441737348312,0.2608560254027143
BTEC,eng-egy,0.5682547683212033,0.6659721392428036,0.4299106590570129,0.4631706019201317,0.1610170256271083,0.3462924658064113
BTEC,msa-egy,0.5839573829597794,0.6593337441311451,0.44035288104189063,0.4736592115146727,0.14015544530188165,0.35257695370182285
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.046562269183848856,0.15508992190558846
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.2745419494956859,0.4761310130082324
FLORES,eng-egy,0.581902222931676,0.5839080902514979,0.37102809348759896,0.40448140298536933,0.1442410854358452,0.3481231766864233
FLORES,msa-egy,0.617543656253838,0.4916224273236003,0.3486143828313682,0.36692638831879537,0.28024170284206723,0.48437206776512676
