dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.49447173670356276,0.6573762744903797,0.38556549839596954,0.4167129405992597,0.061334616962713674,0.22283680705786804
BTEC,msa-egy,0.5375168660195777,0.6100689137598966,0.39109339540311694,0.43331699442972693,0.05263578469879774,0.25053049257327215
FLORES,eng-egy,0.3968611149674689,0.6124909213045612,0.28900964033843995,0.3409085099933594,0.05045072251980112,0.21070359364361138
FLORES,msa-egy,0.46941196146624864,0.5200761233194499,0.30523426065997333,0.3321817227882002,0.12046655703004909,0.32248599897397723
