dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6266238991396677,0.6746294309973018,0.4797778589162591,0.5076281487863402,0.14426705840017373,0.3347179404775302
BTEC,msa-egy,0.6018467513400537,0.648948702297057,0.4660551948765335,0.4990451041688965,0.14275352588501827,0.33680325389071547
FLORES,eng-egy,0.6916600057722826,0.6053142487228615,0.46752797394180556,0.49175866669973084,0.14903931673513834,0.34650158145730436
FLORES,msa-egy,0.5829619399865623,0.49301098798168824,0.342905548455374,0.3715103908400615,0.2883947489413885,0.47974866451506754
