dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6191455233894522,0.6838663553679362,0.4939156519684226,0.5182532082973359,0.17261976767781106,0.36557690929825637
BTEC,msa-egy,0.6315952473861398,0.6710014995490201,0.48248128836760285,0.5184963103267737,0.15729128050865596,0.3577175498409965
FLORES,eng-egy,0.6487765418807976,0.569924102439545,0.4271300476061166,0.46588169176205985,0.17030921288562656,0.3724849768357966
FLORES,msa-egy,0.6478739998667151,0.4895707486575702,0.3733808175534887,0.3966518509609237,0.32422042993786604,0.5099485289587412
