dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6579823189636227,0.6763422261219239,0.5104657415989976,0.5293772603675745,0.1721650318566245,0.35842870469855437
BTEC,msa-egy,0.6134268970128324,0.6638206420798087,0.468898530987608,0.507545448415839,0.15704581849162494,0.3557795540461541
FLORES,eng-egy,0.6489239737014577,0.5589893149235285,0.4191543024647323,0.44915747513702825,0.2005436641228023,0.3942568559974682
FLORES,msa-egy,0.560583283103333,0.4637161532964092,0.31973126921820527,0.33982556875229863,0.35666859259728506,0.536795950492425
