dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.0024443932365751163,0.06216052620733209
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.003773157025559464,0.06853352002172836
BTEC,eng-egy,0.63008329086093,0.6844664308830397,0.4929615749971889,0.5123762759918074,0.17457992237454895,0.35758927862302836
BTEC,msa-egy,0.6070213462979882,0.6742670697509311,0.4667132146225997,0.49891461081529587,0.13636719132747607,0.35351994087361605
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.0009167760809392109,0.0711575474937652
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.010842879457840437,0.046966251444042796
FLORES,eng-egy,0.089256191245222,0.1413196508854162,0.05320851234919924,0.06447245914859617,0.00390885697673385,0.03338679829915004
FLORES,msa-egy,0.12382976672670339,0.20998267947288696,0.08000026704379067,0.09869225512698154,0.008956667403770558,0.05718722654410893
