dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6035265952533518,0.696402562991716,0.4868299450404189,0.5231074872689848,0.17039324160451996,0.3537863653438867
BTEC,msa-egy,0.5901237775947084,0.6275618352062884,0.43645966220366184,0.46447197995212036,0.16214835949525422,0.36607643721575533
FLORES,eng-egy,0.6587188370611693,0.5398985538640408,0.4123769970094054,0.43778369318672816,0.2059855654451119,0.4030443369663682
FLORES,msa-egy,0.5705592326426995,0.44921386023110244,0.31434411978230314,0.34860242051445284,0.3574941945566409,0.538138068473614
