dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.33928752547165364,0.516524150418916
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.0739849622864333,0.28634162295608623
BTEC,eng-egy,0.6007318189821672,0.6897205257992027,0.4670773495524492,0.4964793578995838,0.17292815800807726,0.35757873184879185
BTEC,msa-egy,0.6305119405779988,0.6845182519976515,0.48650986936953655,0.5177039306328601,0.1606176125076035,0.3587442135180117
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.24605277807088785,0.5017255166923885
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.33297316642200186,0.5138818460074036
FLORES,eng-egy,0.6595284959193668,0.5555385872069746,0.4004063897435045,0.4271396102268816,0.18514114407020638,0.38680996361855186
FLORES,msa-egy,0.5841610283544287,0.4734860541007947,0.3437008503547572,0.3717791599407008,0.3493909464478591,0.5319117611310124
