dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.5955012856321992,0.7136785803898238,0.46563897097573,0.49393966723833216,0.1491620483451285,0.339623881689225
BTEC,msa-egy,0.5784108620692859,0.6473057190925465,0.43942014153461,0.4693099999227175,0.14649956669924136,0.35141539060585386
FLORES,eng-egy,0.6075501901842654,0.5846051314892248,0.403397299009222,0.4327523971405054,0.1285622154462356,0.3271069845005017
FLORES,msa-egy,0.5939983034027683,0.4903148357718601,0.3494375295108074,0.37063092074042414,0.2868463774931489,0.48417277996872654
