dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6336262540534517,0.6723549369437387,0.4888892456022193,0.524071492683781,0.1866931790373055,0.37903050013339806
BTEC,msa-egy,0.593997222277685,0.6530592876888113,0.44001099835781643,0.46936723041494366,0.16975754864603224,0.3677429982883482
FLORES,eng-egy,0.6255117186397547,0.5193671387591167,0.39315862240575156,0.41632961372192157,0.20586622918352832,0.3963901433174162
FLORES,msa-egy,0.5632148113907897,0.45262626253883353,0.31834370986679866,0.3406028463182133,0.3760136233034993,0.5482501403297901
