dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6013015686353902,0.7215933132939972,0.4821717965851222,0.5011354224075576,0.10902215203706328,0.2721897796043974
BTEC,msa-egy,0.5969607470202027,0.6437765253719409,0.44741884998343096,0.4660018582251603,0.09971785444881043,0.2904824025184562
FLORES,eng-egy,0.51386442877847,0.6363765722769312,0.36502223910582315,0.4311102618613537,0.10562240047464835,0.2768663824888589
FLORES,msa-egy,0.6055035732888792,0.5602005661668954,0.3954531777590498,0.43307518317091803,0.2181087079617175,0.4105124758963347
