dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,dza-eng,0.0,0.0,0.0,0.0,0.29938535416131773,0.49725339126046825
BTEC,dza-msa,0.0,0.0,0.0,0.0,0.11214478897876283,0.3347022731051999
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.3764098454657215,0.550688345128337
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.12511574192648206,0.3462271867438998
BTEC,eng-dza,0.34450128754218895,0.4641524160420522,0.19094747740188878,0.3886594272578019,0.09595470269940522,0.26332050464484424
BTEC,eng-egy,0.6119974597648252,0.6523752571630758,0.466932087890128,0.4942880841019648,0.14668523995694926,0.3388663424184891
BTEC,eng-sau,0.35745272727275734,0.3979517589430907,0.17947698647627788,0.30458080131638093,0.1839721066354362,0.38925370149444605
BTEC,eng-syr,0.2181981406491832,0.5496347687745583,0.14898721272276882,0.4446495698309847,0.12087169189624081,0.2990259109419763
BTEC,msa-dza,0.3730175069467805,0.4535996987024555,0.21014962875314538,0.3728439226700618,0.08458464472754629,0.27088872637304817
BTEC,msa-egy,0.5798817709300783,0.6128895572642796,0.4238849906364478,0.45136131363654813,0.12389734676447382,0.3311161769739541
BTEC,msa-sau,0.24682749944193347,0.5004583682506927,0.1509668991138018,0.2524739903128743,0.1348695361184092,0.34939660022832064
BTEC,msa-syr,0.2154564561949519,0.5488373189949197,0.1477433698839378,0.4119381488305056,0.10293922623205805,0.3003627154068376
BTEC,sau-eng,0.0,0.0,0.0,0.0,0.44300587915212375,0.6102036232723299
BTEC,sau-msa,0.0,0.0,0.0,0.0,0.15963309740473014,0.38879367236990015
BTEC,syr-eng,0.0,0.0,0.0,0.0,0.39041835573213896,0.5539978215039125
BTEC,syr-msa,0.0,0.0,0.0,0.0,0.12586220550028804,0.3505383473538871
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.056344424303006437,0.2352864111343194
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.03980945338382595,0.09909353852038368
FLORES,eng-egy,0.29255687275959646,0.25982042450399606,0.18568845892754646,0.2030014976050271,0.07159646126939549,0.1727080647390371
FLORES,eng-sau,0.12840240999321395,0.10810011073132046,0.03832461591240743,0.06524403045628845,0.056457725073629984,0.14423336105378068
FLORES,eng-syr,0.08244889169669477,0.16189172262034845,0.041962651767752455,0.12723829596864908,0.04478032600247579,0.1247049453778466
FLORES,msa-egy,0.09991662006359547,0.12112443598220125,0.05821591771324565,0.06412826120943986,0.03882287143523012,0.10219013197463143
FLORES,msa-sau,0.06817117242491805,0.09405768481316044,0.020779248800442622,0.034896148905700836,0.06060943224964329,0.12781922359866943
FLORES,msa-syr,0.09806522254948505,0.14838293970678934,0.04901411000071713,0.09724531377602964,0.055526196594117526,0.1530432978483376
FLORES,sau-eng,0.0,0.0,0.0,0.0,0.07002696636586152,0.25293250106093634
FLORES,sau-msa,0.0,0.0,0.0,0.0,0.14764165452517145,0.2519224012889745
FLORES,syr-eng,0.0,0.0,0.0,0.0,0.04850454072250607,0.2125248020793794
FLORES,syr-msa,0.0,0.0,0.0,0.0,0.05462229875084082,0.13413404051618152
