dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.23320285125522486,0.41618497632719537
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.07479009311012268,0.28059606346515975
BTEC,eng-egy,0.6343309135476011,0.7088036901364103,0.498280158132021,0.5364149129934074,0.14877274302189408,0.3457560023662765
BTEC,msa-egy,0.6151650112758216,0.6760511547530769,0.4657205389234229,0.49700700699313216,0.1585869880108324,0.3584377078607687
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.11360880778804969,0.3055988646909186
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.3174058345175948,0.5052578519798187
FLORES,eng-egy,0.6560671381736757,0.5866770272731082,0.4342337218043765,0.4623499400198994,0.1660907875368566,0.36401824443462955
FLORES,msa-egy,0.5791281504597282,0.4795877776882844,0.3324705882436287,0.3531994268008043,0.33025337501935453,0.5211955616623464
