dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,dza-eng,0.0,0.0,0.0,0.0,0.2930337747566933,0.4915582855349442
BTEC,dza-msa,0.0,0.0,0.0,0.0,0.1644396246503576,0.388095567946652
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.37589793541468935,0.5523036373832204
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.19682138347498956,0.43102129417050944
BTEC,eng-dza,0.28686468078187316,0.422961572080967,0.13955081582125195,0.3246609262003667,0.11983693180604696,0.3010242178503228
BTEC,eng-egy,0.6139415339866536,0.6556424285750836,0.47101926384799675,0.510742851527012,0.16790816589984853,0.36493353315935756
BTEC,eng-sau,0.25836753634386694,0.23031156390177784,0.10426043133770908,0.1769423203291555,0.21305758358240098,0.40908620335098134
BTEC,eng-syr,0.20747879767135602,0.570053189410246,0.1522983773344965,0.47194170543955993,0.18652143437248633,0.35865352249155047
BTEC,msa-dza,0.39304819510936795,0.4390169264818542,0.2349498717625065,0.3752879350052089,0.12360635225015053,0.31377765174853783
BTEC,msa-egy,0.6059921774390387,0.6320417630381416,0.4564013727953582,0.48497358835065785,0.15703006637601852,0.35181491454387237
BTEC,msa-sau,0.28783898679950654,0.5499307633831632,0.17672923373721885,0.27694398218436306,0.15267899191198536,0.37408053222532817
BTEC,msa-syr,0.23374664458664485,0.5980665245867567,0.15341957822220312,0.46398406726390234,0.16420809795951044,0.3635471741040382
BTEC,sau-eng,0.0,0.0,0.0,0.0,0.42102454267524975,0.6055878064727299
BTEC,sau-msa,0.0,0.0,0.0,0.0,0.2134542174555932,0.4546091925927923
BTEC,syr-eng,0.0,0.0,0.0,0.0,0.3853986932189092,0.5568356628461784
BTEC,syr-msa,0.0,0.0,0.0,0.0,0.20462799704990087,0.447682292205003
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.3158312676346065,0.5695921673181353
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.4627340692742279,0.6195883929361613
FLORES,eng-egy,0.49868451391696,0.40052080751192987,0.2883201166433262,0.3048208827580802,0.22080222815824932,0.41851291134300894
FLORES,eng-sau,0.0715465782789397,0.011612317863036879,0.0006909920750272935,0.006088113499903297,0.2959556947766634,0.48953151808045847
FLORES,eng-syr,0.13496452368177414,0.20489005619165254,0.06030860553960594,0.16313446007454982,0.23644626820558468,0.44157584058014543
FLORES,msa-egy,0.47706333388065103,0.3792029954158352,0.26254049866799617,0.28659751883271267,0.38052692208894423,0.5513004450489523
FLORES,msa-sau,0.1579504643072869,0.22554460811894386,0.05064768607903154,0.09335671175177197,0.5651897294552646,0.6943599959508773
FLORES,msa-syr,0.179311679037055,0.2673821957819746,0.06758440222282762,0.2190825640605594,0.2740612473508702,0.47932859456386206
FLORES,sau-eng,0.0,0.0,0.0,0.0,0.3946969581636393,0.628899214374428
FLORES,sau-msa,0.0,0.0,0.0,0.0,0.8335891484058163,0.8917591866596536
FLORES,syr-eng,0.0,0.0,0.0,0.0,0.38525542728485235,0.614756020566861
FLORES,syr-msa,0.0,0.0,0.0,0.0,0.3756624083050971,0.5590495947219429
