dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6285989059273561,0.6858431647464749,0.4958900063296929,0.5220626860526884,0.13913667595739404,0.3286437845866525
BTEC,msa-egy,0.6049335824511946,0.6457934463379206,0.4599022570105198,0.4852284123574237,0.14184615771142386,0.3348478297212037
FLORES,eng-egy,0.6742695729885599,0.6136080799298361,0.4774312756571028,0.5076015496134704,0.12461304147517634,0.31803059976707887
FLORES,msa-egy,0.6353454784861242,0.5331551468535326,0.3869887477382161,0.41246703227346065,0.24306625698689133,0.42662188502725157
