dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,dza-eng,0.0,0.0,0.0,0.0,0.2863879208963596,0.48667535223804753
BTEC,dza-msa,0.0,0.0,0.0,0.0,0.11240820891060899,0.3369884956403705
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.37294929240626173,0.5443175892060187
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.11916538851851391,0.33698764341439064
BTEC,eng-dza,0.3197792066473266,0.5179863352276152,0.20496772209561484,0.40973435786145573,0.09928020793164664,0.28232041331985086
BTEC,eng-egy,0.6495877191997715,0.6899674523249268,0.5067514449321101,0.53107150152536,0.18412632725904335,0.3696749779312383
BTEC,eng-sau,0.3656033387206844,0.43723565274151044,0.19303002169798955,0.30903945041667663,0.24043945542659803,0.42568355112433415
BTEC,eng-syr,0.2674715721573739,0.6011655131576117,0.18603453372171988,0.4935438082704961,0.17870385042954567,0.36324096745161205
BTEC,msa-dza,0.3529573633312248,0.46885844064585397,0.21333016475947178,0.39770954755402466,0.09939071009627262,0.29418589427192104
BTEC,msa-egy,0.6042739680857631,0.6531411297008163,0.4527340573625695,0.489194764908958,0.16819472212587325,0.36505204641806666
BTEC,msa-sau,0.23417121625716392,0.529268084380019,0.14533265154515976,0.252549036662462,0.174377096115835,0.38352358231570044
BTEC,msa-syr,0.2508655426229234,0.6221346466767136,0.16279118885285293,0.48820610035612505,0.1582505321680594,0.3615838465267796
BTEC,sau-eng,0.0,0.0,0.0,0.0,0.44657276929110606,0.6148334157185692
BTEC,sau-msa,0.0,0.0,0.0,0.0,0.1549671258734248,0.3873239509705402
BTEC,syr-eng,0.0,0.0,0.0,0.0,0.3794464156267063,0.5529691491956851
BTEC,syr-msa,0.0,0.0,0.0,0.0,0.12077646495195869,0.34544695970459505
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.2967765553826533,0.549116721418618
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.3713684174077673,0.5483401563779141
FLORES,eng-egy,0.5970283381473565,0.5183674294370576,0.37311933288275756,0.40178775658999943,0.20297650878384876,0.40323219194753546
FLORES,eng-sau,0.22740302810881985,0.2368248838564614,0.0764754595561525,0.14591208810900036,0.20924979334202157,0.4142558239136918
FLORES,eng-syr,0.23308998248197896,0.4205910108872922,0.10774251238631301,0.32775292862558175,0.2042492820830274,0.4092103340982446
FLORES,msa-egy,0.5194720467073785,0.4495614463009406,0.3114627368422147,0.3382313840043323,0.36814977557733386,0.5428773062212477
FLORES,msa-sau,0.1353696815613148,0.29128486436151435,0.03840666663642271,0.0964834037733377,0.4604937894200362,0.617518494142784
FLORES,msa-syr,0.25997852828586476,0.38679724765883294,0.11173962075421758,0.3244150197586002,0.2755022564928026,0.47489340342799574
FLORES,sau-eng,0.0,0.0,0.0,0.0,0.3786278096615889,0.6171226274746473
FLORES,sau-msa,0.0,0.0,0.0,0.0,0.7180479579701163,0.8130814922991613
FLORES,syr-eng,0.0,0.0,0.0,0.0,0.35617772209852305,0.590963057753729
FLORES,syr-msa,0.0,0.0,0.0,0.0,0.298791027616889,0.4949260500695242
