dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6417783146785223,0.6793322438781615,0.4920648477555795,0.5148651416161136,0.15923727071872273,0.34816020980220036
BTEC,msa-egy,0.6102246777780238,0.6613562902470584,0.4656807044787277,0.5028847637924304,0.14464211956106782,0.34076871469774134
FLORES,eng-egy,0.6913509228901239,0.5966945687585394,0.46410271101255773,0.496058955987788,0.1471436180565006,0.3491617281373042
FLORES,msa-egy,0.630759569083748,0.5136825999175199,0.3767976078761421,0.39252506495083606,0.2845848436455977,0.4727390126729446
