dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.10351796688988107,0.2330504381112417
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.059209392120863596,0.268159157158685
BTEC,eng-egy,0.5855144379688864,0.6770127061498351,0.449156258498822,0.47654332558801543,0.15928437347492416,0.34501522403612417
BTEC,msa-egy,0.5996538557426538,0.6651978982955916,0.4514313618852951,0.4794766375818045,0.16003730015501622,0.3614389946729911
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.045774124603340044,0.157398783764252
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.27398149380630044,0.47351847000481817
FLORES,eng-egy,0.625303026814654,0.5778459373116493,0.39526233054045107,0.43606784528971604,0.1346170808799244,0.34352554347169123
FLORES,msa-egy,0.5510229061619611,0.47314575213415083,0.31126954864176304,0.33239955488586387,0.28990041558936136,0.49474113472173414
