dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.20869297024706612,0.5266457138583064,0.1301771154844366,0.43707698256957755
BTEC,egy,0.5028798605760676,0.6784301806613803,0.3574999502754933,0.3659707972613966
BTEC,mar,0.8699290852557169,0.5764297329506372,0.5211009316991522,0.5438067339606111
BTEC,pse,0.18397861329533044,0.6447292562574148,0.1363606698806091,0.4684095003804984
BTEC,sau,0.28466268387681337,0.44977095290319996,0.14846467705244637,0.30402194796622006
BTEC,sdn,0.17213269053201657,0.5982308793172706,0.11474394680608636,0.26431383357519384
BTEC,syr,0.16688463209124166,0.6233227583020926,0.1277696351114906,0.5085452534771172
FLORES,egy,0.6200463694828795,0.4979417645931244,0.3456846715136709,0.3489295127976911
FLORES,mar,0.8762457207293483,0.44088135547935964,0.4090965151624111,0.4203389312159793
FLORES,pse,0.1572947402720456,0.4457560009934241,0.07569348716488605,0.2799722401198974
FLORES,sau,0.1429803985383478,0.32457521501928566,0.04691391923602382,0.18394993596293333
FLORES,syr,0.13517070348083507,0.5052391895651818,0.07181415070465698,0.3780665070235336
HABIBI,dza,0.18116013072103251,0.537622397400214,0.08232564065728491,0.44244079793486607
HABIBI,egy,0.6061725149516133,0.6506571507081389,0.4367910348487476,0.45293348453357185
HABIBI,kwt,0.02211746289365692,0.5451037274231203,0.012693887063938019,0.2507902738353341
HABIBI,mar,0.7519727761170362,0.5500528593827039,0.4226087714798683,0.4769525696223981
HABIBI,pse,0.2517802184126758,0.6799366384362563,0.18420475086471952,0.4487836123846891
HABIBI,sau,0.13874630574835464,0.4540467688115314,0.05691422512510011,0.2575580738610621
HABIBI,sdn,0.1115655549233892,0.6093463166466644,0.08085736008329496,0.29960867030460436
HABIBI,syr,0.2062559946917463,0.7103257602453232,0.14401467765905193,0.5354245904161284
