dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.5959211909107398,0.6723508408199996,0.4665869524013038,0.5008854015595955,0.17245642729278593,0.35724978706139615
BTEC,msa-egy,0.6117413002444664,0.6524831627964158,0.4608229403428153,0.4933126999943855,0.1609729012925877,0.3597291947655282
FLORES,eng-egy,0.6354397795992555,0.5294296244031284,0.3964511261958235,0.4258656032154696,0.21260328258461697,0.4076971982776603
FLORES,msa-egy,0.5688987550651654,0.4609677732820273,0.3313089631173206,0.35445628701827453,0.3542372808903075,0.5312782178968981
