dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.38714997541911494,0.5592422857617367
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.16348542266518243,0.39315798819222075
BTEC,eng-egy,0.6045915928200702,0.6545505165072973,0.45431053246894637,0.4796309063335176,0.18689546175496424,0.3806881067066154
BTEC,msa-egy,0.5635814830683376,0.6240050047740806,0.42757699759356493,0.46452526498509605,0.15736387567704122,0.3545975261452774
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.31083902920727,0.5617333280902951
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.40864024271531707,0.5758955509056519
FLORES,eng-egy,0.6561047029745533,0.5440865188764292,0.39815151758561407,0.4390716406462167,0.21267484217255123,0.41110779968051003
FLORES,msa-egy,0.5668227602551633,0.44916236564313294,0.3246228004849829,0.3521450526373867,0.3687249982160251,0.5421578506024803
