dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6062543358269613,0.6776783585298108,0.463687413227191,0.4911541393751298,0.16626840512705823,0.3560029019112499
BTEC,msa-egy,0.6215004865571973,0.6607044163678074,0.47635815955499905,0.5031312341337589,0.15914528848968332,0.36327223239311546
FLORES,eng-egy,0.6867008395949961,0.5645859208249021,0.434819331544212,0.46378363618519103,0.1743405001087049,0.37309298530525387
FLORES,msa-egy,0.5610799716549809,0.4921501190928393,0.33269237144368885,0.36455361916400053,0.32013625200739826,0.506468417594658
