dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.6249532312719385,0.6550072834815365,0.464031565939167,0.4943314391587667,0.17524543347353283,0.36310997555725244
BTEC,msa-egy,0.5897524665371747,0.6326123083339189,0.44351352917975545,0.47334006219806496,0.15261142255853938,0.35947760397570777
FLORES,eng-egy,0.5909157569166564,0.5070881455083145,0.3531359085063292,0.38417864708207916,0.21208650755798825,0.41583246459573475
FLORES,msa-egy,0.49097814752341945,0.4133849507101695,0.2664271945951336,0.287496264776516,0.3879941564685099,0.5586494087653645
