dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.0066018681976223285,0.09679161829022792
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.0032577715377632515,0.041998836921011806
BTEC,eng-egy,0.09335692699067294,0.10286409106105567,0.06643579572233362,0.07104583007321573,0.0023431727172014776,0.03382762636020696
BTEC,msa-egy,0.13177107396972132,0.1930781592312269,0.09810246646085556,0.10263816808021987,0.005397233853430705,0.056121881323990416
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.069048448796281,0.2750992871386525
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.3746019931019247,0.5470927446248579
FLORES,eng-egy,0.09223994759042398,0.08650461534038185,0.06372222348711123,0.06819649375419903,0.013639678757983255,0.040807114684987426
FLORES,msa-egy,0.022325036991387607,0.05420414140447974,0.007448308052690026,0.008419517743724632,0.00019337780792595352,0.020972969083439284
