dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,eng-egy,0.5991846042004181,0.6330773400352336,0.4443308614459529,0.4736406287244999,0.18522615167905682,0.3728663006755316
BTEC,msa-egy,0.6067213318080757,0.6658640566247049,0.467431797203284,0.49371477428114546,0.17649803392625113,0.36650934887834624
FLORES,eng-egy,0.6098423081275541,0.5246818733331747,0.37525575656146626,0.3994230960472121,0.20380590088659775,0.40610403818134055
FLORES,msa-egy,0.5741049814291181,0.4308897531655384,0.3181038165542197,0.3482247853123171,0.3784989222975625,0.5536700287637948
